#,Column name,Short description,Original Format,Original Values,Adapted Format,Handeling Missing Values ,Further Modifications
1,fico,Credit Score,Numeric (Int64),"300 - 850
9999 = Not Available,
if Credit Score is < 300 or > 850.",Numeric (int32),"1) np.nan = Not Available 
2) Dropped",-
2,dt_first_pi,First Payment Date,Date (int64),YYYYMM,pandas datetime (int64),-,Dropped
3,flag_fthb,First Time Homebuyer Flag,Alpha (object),"Y = Yes
N = No
9 = Not Available or
Not Applicable",uint8,"1) np.nan = Not Available or
Not Applicable
2) 'N' = np.nan ","Y=1
N=0"
4,dt_matr,Maturity Date,Date (int64),YYYYMM,pandas datetime (int64),-,Dropped; use difference between Original Loan Term and Maturity Date instead: df_train.orig_loan_term = df_train.dt_matr - df_train.dt_first_pi
5,cd_msa,Metropolitan Statistical Area (MSA) Or Metropolitan Division,Numeric (float64),"Metropolitan Division or MSA Code.
Space (5) = Indicates that the area in which the mortgaged property is located is
a) neither an MSA nor a Metropolitan Division, or b) unknown.",-,-,Dropped
6,mi_pct,Mortgage Insurance Percentage (MI %),Numeric (Int64),"1% - 55%
000 = No MI
999 = Not Available",Numeric (float64),np.nan = Not Available,Devided by 100
7,cnt_units,Number of Units,Numeric (Int64),"1 = one-unit
2 = two-unit
3 = three-unit
4 = four-unit
99 = Not Available",Category ,np.nan = Not Available ,-
8,occpy_sts,Occupancy Status,Alpha (object),"P = Primary Residence
I = Investment Property
S = Second Home
9 = Not Available",Category ,np.nan = Not Available,-
9,cltv,Original Combined Loan-to-Value (CLTV),Numeric (Int64),"201801 and prior:
   6% - 200%
   999 = Not Available
201802 and later:
   1% - 998%
   999 = Not Available    
HARP ranges:
   1% - 998%
   999 = Not Available",Numeric (float64),"1) np.nan = Not Available
2) Dropped",Devided by 100; renamed cltv_pct
10,dti,Original Debt-to-Income (DTI) Ratio,Numeric (Int64),"0% DTI =65%
999 = Not Available
HARP ranges:
 999 = Not Available",Numeric (float64),"1) np.nan = Not Available
2) Impute cut-off value of 65%",Devided by 100; renamed dti_pct
11,orig_upb,Original UPB,Numeric (int64),"Amount will be rounded to the nearest $1,000.",Numeric (int32),-,-
