Ranking of Feature (from most to least important),Possible Rankings with m=none,Possible Rankings with m=50,Possible Rankings with m=500,Possible Rankings with m=1500,Possible Rankings with m=15000,Possible Rankings with m=75000,Possible Rankings with m=all
1,['fico'],['fico' 'servicer_name_Other servicers'],['fico' 'servicer_name_Other servicers'],['servicer_name_Other servicers' 'fico'],['fico' 'servicer_name_Other servicers'],['servicer_name_Other servicers' 'fico'],['servicer_name_Other servicers']
2,['servicer_name_Other servicers'],"['servicer_name_Other servicers' 'fico' 'seller_name_WELLS FARGO BANK, N.']",['servicer_name_Other servicers' 'fico'],['fico' 'servicer_name_Other servicers'],['servicer_name_Other servicers' 'fico'],['fico' 'servicer_name_Other servicers'],['fico']
3,['cnt_borr'],"['cnt_borr' 'seller_name_WELLS FARGO BANK, N.' 'fico' 'cltv_pct']","['cnt_borr' 'seller_name_WELLS FARGO BANK, N.']","['cnt_borr' 'seller_name_WELLS FARGO BANK, N.']","['cnt_borr' 'seller_name_WELLS FARGO BANK, N.']","['seller_name_WELLS FARGO BANK, N.' 'cnt_borr']",['cnt_borr']
4,['cltv_pct'],"['cltv_pct' 'seller_name_WELLS FARGO BANK, N.' 'cnt_borr'
 'seller_name_CALIBER HOME LOANS, ']","['cltv_pct' 'seller_name_WELLS FARGO BANK, N.' 'cnt_borr']","['seller_name_WELLS FARGO BANK, N.' 'cltv_pct' 'cnt_borr'
 'seller_name_CALIBER HOME LOANS, ']","['cltv_pct' 'cnt_borr' 'seller_name_WELLS FARGO BANK, N.'
 'seller_name_CALIBER HOME LOANS, ']","['cnt_borr' 'cltv_pct' 'seller_name_WELLS FARGO BANK, N.']","['seller_name_WELLS FARGO BANK, N.']"
5,['dti_pct'],"['seller_name_WELLS FARGO BANK, N.' 'cltv_pct' 'dti_pct' 'int_rt_pct'
 'st_FL']","['seller_name_WELLS FARGO BANK, N.' 'cltv_pct' 'int_rt_pct' 'dti_pct'
 'st_FL']","['cltv_pct' 'seller_name_WELLS FARGO BANK, N.' 'int_rt_pct' 'dti_pct'
 'st_FL']","['seller_name_WELLS FARGO BANK, N.' 'cltv_pct' 'st_FL' 'dti_pct']","['cltv_pct' 'seller_name_WELLS FARGO BANK, N.' 'dti_pct' 'st_FL']",['cltv_pct']
6,['int_rt_pct'],"['dti_pct' 'int_rt_pct' 'st_FL' 'seller_name_WELLS FARGO BANK, N.'
 'cltv_pct']","['dti_pct' 'int_rt_pct' 'st_FL' 'orig_upb'
 'seller_name_WELLS FARGO BANK, N.' 'seller_name_CALIBER HOME LOANS, ']","['dti_pct' 'int_rt_pct' 'st_FL' 'seller_name_WELLS FARGO BANK, N.'
 'seller_name_CALIBER HOME LOANS, ']",['int_rt_pct' 'dti_pct' 'cltv_pct'],"['dti_pct' 'int_rt_pct' 'seller_name_WELLS FARGO BANK, N.' 'st_FL'
 'cltv_pct']",['dti_pct']
7,"['seller_name_WELLS FARGO BANK, N.']","['int_rt_pct' 'dti_pct' 'seller_name_WELLS FARGO BANK, N.' 'st_FL']","['int_rt_pct' 'dti_pct' 'seller_name_U.S. BANK N.A.'
 'seller_name_WELLS FARGO BANK, N.' 'st_FL']","['int_rt_pct' 'dti_pct' 'seller_name_U.S. BANK N.A.' 'st_FL'
 'seller_name_WELLS FARGO BANK, N.' 'cltv_pct']","['dti_pct' 'int_rt_pct' 'st_FL' 'seller_name_WELLS FARGO BANK, N.']","['int_rt_pct' 'seller_name_WELLS FARGO BANK, N.' 'st_FL' 'dti_pct']",['int_rt_pct']
8,['loan_purpose_P'],"['st_FL' 'loan_purpose_P' 'int_rt_pct' 'dti_pct' 'orig_loan_term'
 'pre_relief_prog_N' 'seller_name_U.S. BANK N.A.']","['st_FL' 'loan_purpose_P' 'seller_name_U.S. BANK N.A.' 'orig_loan_term'
 'int_rt_pct' 'dti_pct' 'seller_name_CALIBER HOME LOANS, '
 'pre_relief_prog_N']","['st_FL' 'loan_purpose_P' 'int_rt_pct' 'seller_name_WELLS FARGO BANK, N.'
 'dti_pct' 'seller_name_U.S. BANK N.A.' 'pre_relief_prog_N'
 'seller_name_Other sellers']","['st_FL' 'loan_purpose_P' 'seller_name_U.S. BANK N.A.' 'int_rt_pct'
 'dti_pct' 'orig_loan_term']","['st_FL' 'loan_purpose_P' 'int_rt_pct' 'orig_loan_term'
 'seller_name_U.S. BANK N.A.' 'orig_upb'
 'seller_name_CALIBER HOME LOANS, ']",['st_FL']
9,['st_FL'],"['seller_name_Other sellers' 'st_FL' 'loan_purpose_P' 'orig_loan_term'
 'orig_upb' 'seller_name_U.S. BANK N.A.' 'pre_relief_prog_N'
 'seller_name_CALIBER HOME LOANS, ' 'dti_pct']","['loan_purpose_P' 'st_FL' 'seller_name_U.S. BANK N.A.'
 'seller_name_Other sellers' 'orig_upb' 'pre_relief_prog_N' 'dti_pct'
 'orig_loan_term']","['loan_purpose_P' 'st_FL' 'seller_name_CALIBER HOME LOANS, '
 'seller_name_Other sellers' 'orig_loan_term' 'pre_relief_prog_N'
 'int_rt_pct']","['loan_purpose_P' 'orig_upb' 'st_FL' 'orig_loan_term'
 'seller_name_Other sellers' 'int_rt_pct' 'seller_name_U.S. BANK N.A.']","['loan_purpose_P' 'seller_name_Other sellers' 'orig_upb' 'st_FL'
 'pre_relief_prog_N' 'dti_pct' 'orig_loan_term']",['loan_purpose_P']
10,['servicer_name_JPMORGAN CHASE BAN'],"['loan_purpose_P' 'orig_upb' 'seller_name_Other sellers' 'orig_loan_term'
 'servicer_name_JPMORGAN CHASE BAN' 'seller_name_CALIBER HOME LOANS, '
 'pre_relief_prog_N' 'st_FL' 'pgrm_ind_Y']","['orig_upb' 'orig_loan_term' 'servicer_name_JPMORGAN CHASE BAN'
 'seller_name_Other sellers' 'st_FL' 'loan_purpose_P' 'pre_relief_prog_N'
 'mi_pct']","['orig_upb' 'servicer_name_JPMORGAN CHASE BAN' 'seller_name_Other sellers'
 'orig_loan_term' 'loan_purpose_P' 'pre_relief_prog_N' 'st_FL']","['seller_name_Other sellers' 'orig_upb' 'orig_loan_term'
 'seller_name_CALIBER HOME LOANS, ' 'loan_purpose_P' 'pre_relief_prog_N'
 'st_FL' 'servicer_name_JPMORGAN CHASE BAN']","['orig_loan_term' 'seller_name_Other sellers' 'orig_upb'
 'servicer_name_JPMORGAN CHASE BAN' 'loan_purpose_P' 'st_FL'
 'pre_relief_prog_N' 'pgrm_ind_Y' 'mi_pct']",['seller_name_Other sellers']
